   0       TABLE     a=9   b=261   c=0      f00901050000  (added)
 115  012  LT        a=3   b=0     c=0      4e0300000000
 116  014  JMPNOT    a=3   b=125   c=0      2803007d0000
 117  018  NOP       a=0   b=0     c=0      000000000000
 118  019  MOVE      a=5   b=2     c=0      010500020000
 119  022  SSEND     a=4   b=9     c=1      2f0400090001
 120  026  MOVE      a=5   b=2     c=0      010500020000
 121  029  BLKPUSH   a=3   b=1     c=0      440300010000
 122  033  BLKCALL   a=3   b=2     c=0      360300020000
 123  036  ADDILV    a=2   b=3     c=1      490200030001
 124  040  JMP       a=0   b=113   c=0      260000710000
 125  043  RETURN    a=0   b=0     c=0      3d0000000000  <- RETSELF
# irep 8  nregs 9
 126  000  ENTER     a=0   b=9     c=0      390000090000
 127  004  ARRAY     a=2   b=0     c=0      520200000000
 128  007  LOADI_0   a=3   b=0     c=0      060300000000
 129  009  MOVE      a=4   b=3     c=0      010400030000
 130  012  SSEND0    a=5   b=21    c=0      300500150000
 131  015  LT        a=4   b=0     c=0      4e0400000000
 132  017  JMPNOT    a=4   b=142   c=0      2804008e0000
 133  021  NOP       a=0   b=0     c=0      000000000000
 134  022  MOVE      a=4   b=2     c=0      010400020000
 135  025  MOVE      a=7   b=3     c=0      010700030000
 136  028  SSEND     a=6   b=9     c=1      2f0600090001
 137  032  BLKPUSH   a=5   b=1     c=0      440500010000
 138  036  BLKCALL   a=5   b=1     c=0      360500010000
 139  039  SEND      a=4   b=22    c=1      320400160001
 140  043  ADDILV    a=3   b=4     c=1      490300040001
 141  047  JMP       a=0   b=129   c=0      260000810000
 142  050  RETURN    a=2   b=0     c=0      3d0200000000
# irep 9  nregs 2
 143       ENTER     a=0   b=2     c=0      390000020000  (added)
 144  000  TDEF      a=1   b=23    c=0      6b0100170000
 145  004  TDEF      a=1   b=24    c=0      6b0100180000
 146  008  RETURN    a=1   b=0     c=0      3d0100000000
# irep 10  nregs 4
 147  000  ENTER     a=0   b=4     c=0      390000040000
 148  004  NOP       a=0   b=0     c=0      000000000000
 149  005  BLKPUSH   a=2   b=1     c=0      440200010000
 150  009  BLKCALL   a=2   b=0     c=0      360200000000
 151  012  JMP       a=0   b=148   c=0      260000940000
 152  015  RETNIL    a=0   b=0     c=0      400000000000
# irep 11  nregs 4
 153  000  ENTER     a=0   b=4     c=0      390000040000
 154  004  MOVE      a=2   b=1     c=0      010200010000
 155  007  RETURN    a=2   b=0     c=0      3d0200000000
# irep 12  nregs 2
 156       ENTER     a=0   b=2     c=0      390000020000  (added)
 157  000  TDEF      a=1   b=25    c=0      6b0100190000
 158  004  RETURN    a=1   b=0     c=0      3d0100000000
# irep 13  nregs 6
 159  000  ENTER     a=1   b=6     c=0      390100060000
 160  004  MOVE      a=4   b=1     c=0      010400010000
 161  007  SSEND     a=3   b=4     c=1      2f0300040001
 162  011  SEND0     a=3   b=26    c=0      3303001a0000
 163  014  RETURN    a=3   b=0     c=0      3d0300000000
# irep 14  nregs 2
 164       ENTER     a=0   b=2     c=0      390000020000  (added)
 165  000  TDEF      a=1   b=4     c=0      6b0100040000
 166  004  TDEF      a=1   b=27    c=0      6b01001b0000
 167  008  RETURN    a=1   b=0     c=0      3d0100000000
# irep 15  nregs 8
 168  000  ENTER     a=1   b=8     c=0      390100080000
 169  004  MOVE      a=4   b=1     c=0      010400010000
 170  007  SEND0     a=4   b=28    c=0      3304001c0000
 171  010  CLASS     a=5   b=7     c=0      670500070000  <- GETCONST
 172  013  EQ        a=4   b=0     c=0      4d0400000000
 173  015  JMPIF     a=4   b=176   c=0      270400b00000
 174  019  LOADFALSE a=0   b=0     c=0      140000000000  <- RETFALSE
 175       RETURN    a=0   b=0     c=0      3d0000000000  <- RETFALSE
 176  020  SSEND0    a=4   b=21    c=0      300400150000
 177  023  MOVE      a=5   b=1     c=0      010500010000
 178  026  SEND0     a=5   b=21    c=0      330500150000
 179  029  EQ        a=4   b=0     c=0      4d0400000000
 180  031  JMPIF     a=4   b=183   c=0      270400b70000
 181  035  LOADFALSE a=0   b=0     c=0      140000000000  <- RETFALSE
 182       RETURN    a=0   b=0     c=0      3d0000000000  <- RETFALSE
 183  036  LOADI_0   a=3   b=0     c=0      060300000000
 184  038  MOVE      a=4   b=3     c=0      010400030000
 185  041  SSEND0    a=5   b=21    c=0      300500150000
 186  044  LT        a=4   b=0     c=0      4e0400000000
 187  046  JMPNOT    a=4   b=200   c=0      280400c80000
 188  050  NOP       a=0   b=0     c=0      000000000000
 189  051  MOVE      a=5   b=3     c=0      010500030000
 190  054  SSEND     a=4   b=9     c=1      2f0400090001
 191  058  MOVE      a=5   b=1     c=0      010500010000
 192  061  MOVE      a=6   b=3     c=0      010600030000
 193  064  GETIDX    a=5   b=0     c=0      230500000000
 194  066  EQ        a=4   b=0     c=0      4d0400000000
 195  068  JMPIF     a=4   b=198   c=0      270400c60000
 196  072  LOADFALSE a=4   b=0     c=0      140400000000
 197  074  RETURN_BLK a=4   b=0     c=0      3e0400000000
 198  076  ADDILV    a=3   b=4     c=1      490300040001
 199  080  JMP       a=0   b=184   c=0      260000b80000
 200  083  LOADTRUE  a=0   b=0     c=0      130000000000  <- RETTRUE
 201       RETURN    a=0   b=0     c=0      3d0000000000  <- RETTRUE
# irep 16  nregs 5
 202  000  ENTER     a=1   b=5     c=0      390100050000
 203  004  BLOCK     a=4   b=207   c=0      620400cf0000
 204  007  SSEND     a=3   b=18    c=128    2f0300120080  <- SSENDB
 205  011  LOADFALSE a=0   b=0     c=0      140000000000  <- RETFALSE
 206       RETURN    a=0   b=0     c=0      3d0000000000  <- RETFALSE
# irep 17  nregs 6
 207  000  ENTER     a=1   b=6     c=0      390100060000
 208  004  MOVE      a=3   b=1     c=0      010300010000
 209  007  GETUPVAR  a=4   b=1     c=1      210400010001
 210  011  EQ        a=3   b=0     c=0      4d0300000000
 211  013  JMPNOT    a=3   b=215   c=0      280300d70000
 212  017  LOADTRUE  a=3   b=0     c=0      130300000000
 213  019  RETURN_BLK a=3   b=0     c=1      3e0300000001
 214  021  JMP       a=0   b=216   c=0      260000d80000
 215  024  LOADNIL   a=3   b=0     c=0      110300000000
 216  026  RETURN    a=3   b=0     c=0      3d0300000000
# irep 18  nregs 2
 217       ENTER     a=0   b=2     c=0      390000020000  (added)
 218  000  TDEF      a=1   b=11    c=0      6b01000b0000
 219  004  TDEF      a=1   b=29    c=0      6b01001d0000
 220  008  TDEF      a=1   b=30    c=0      6b01001e0000
 221  012  RETURN    a=1   b=0     c=0      3d0100000000
# irep 19  nregs 3
 222  000  ENTER     a=0   b=3     c=0      390000030000
 223  004  RETNIL    a=0   b=0     c=0      400000000000
# irep 20  nregs 3
 224  000  ENTER     a=0   b=3     c=0      390000030000
 225  004  LOADFALSE a=0   b=0     c=0      140000000000  <- RETFALSE
 226       RETURN    a=0   b=0     c=0      3d0000000000  <- RETFALSE
# irep 21  nregs 6
 227  000  ENTER     a=1   b=6     c=0      390100060000
 228  004  SSEND0    a=3   b=28    c=0      3003001c0000
 229  007  MOVE      a=4   b=1     c=0      010400010000
 230  010  EQ        a=3   b=0     c=0      4d0300000000
 231  012  RETURN    a=3   b=0     c=0      3d0300000000
# irep 22  nregs 2
 232       ENTER     a=0   b=2     c=0      390000020000  (added)
 233  000  TDEF      a=1   b=29    c=0      6b01001d0000
 234  004  RETURN    a=1   b=0     c=0      3d0100000000
# irep 23  nregs 3
 235  000  ENTER     a=0   b=3     c=0      390000030000
 236  004  LOADTRUE  a=0   b=0     c=0      130000000000  <- RETTRUE
 237       RETURN    a=0   b=0     c=0      3d0000000000  <- RETTRUE
# irep 24  nregs 2
 238       ENTER     a=0   b=2     c=0      390000020000  (added)
 239  000  TDEF      a=1   b=31    c=0      6b01001f0000
 240  004  RETURN    a=1   b=0     c=0      3d0100000000
# irep 25  nregs 6
 241  000  ENTER     a=1   b=6     c=0      390100060000
 242  004  MOVE      a=3   b=1     c=0      010300010000
 243  007  MOVE      a=4   b=0     c=0      010400000000  <- LOADSELF
 244  009  SEND      a=3   b=32    c=1      320300200001
 245  013  RETURN    a=3   b=0     c=0      3d0300000000
# irep 26  nregs 6
 246  000  ENTER     a=1   b=6     c=0      390100060000
 247  004  LOADI_1   a=3   b=0     c=0      070300000000
 248  006  MOVE      a=4   b=1     c=0      010400010000
 249  009  SUB       a=3   b=0     c=0      470300000000
 250  011  RETURN    a=3   b=0     c=0      3d0300000000
# irep 27  nregs 7
 251  000  ENTER     a=1   b=7     c=0      390100070000
 252  004  LOADI_0   a=3   b=0     c=0      060300000000
 253  006  MOVE      a=4   b=3     c=0      010400030000
 254  009  MOVE      a=5   b=1     c=0      010500010000
 255  012  LT        a=4   b=0     c=0      4e0400000000
 256  014  JMPNOT    a=4   b=260   c=0      280401040000
 257  018  NOP       a=0   b=0     c=0      000000000000
 258  019  ADDILV    a=3   b=4     c=1      490300040001
 259  023  JMP       a=0   b=253   c=0      260000fd0000
 260  026  RETNIL    a=0   b=0     c=0      400000000000
# method table (512 words)
 265  class 32769 -                  super 9
 267  class 16385 class 1            is_a
 268  class 49153 class 32769        is_a
 269  class 49153 class 1            is_a
 270  class 1     :==                prim OEQ
 271  class 2     -                  super 1
 272  class 32770 -                  super 32769
 273  class 16386 class 2            is_a
 274  class 16386 class 1            is_a
 275  class 3     -                  super 1
 276  class 32771 -                  super 32769
 277  class 1     :initialize        pc 222
 278  class 49153 class 9            is_a
 279  class 1     :toggle            pc 246
 280  class 1     :wait              pc 251
 281  class 4     -                  super 1
 282  class 32772 -                  super 32769
 283  class 49153 class 10           is_a
 284  class 49154 class 32770        is_a
 285  class 5     -                  super 1
 286  class 5     :+                 prim IADD
 287  class 5     :-                 prim ISUB
 288  class 5     :*                 prim IMUL
 289  class 1     :loop              pc 147
 290  class 1     :proc              pc 153
 291  class 1     :!=                pc 159
 292  class 5     :/                 prim IDIV
 293  class 5     :<                 prim ILT
 294  class 5     :<=                prim ILE
 295  class 1     :nil?              pc 224
 296  class 1     :instance_of?      pc 227
 297  class 5     :>                 prim IGT
 298  class 5     :>=                prim IGE
 299  class 5     :==                prim IEQ
 300  class 2     :nil?              pc 235
 301  class 5     :times             pc 53
 302  class 5     :upto              pc 66
 303  class 5     :downto            pc 79
 304  class 7     :==                pc 168
 305  class 1     :!                 prim NOT
 306  class 1     :class             prim CLASSOF
 307  class 1     :is_a?             prim ISA
 308  class 5     :<<                prim SHL
 309  class 7     :[]                prim AGET
 310  class 7     :[]=               prim ASET
 311  class 32773 -                  super 32769
 312  class 6     -                  super 1
 313  class 32774 -                  super 32769
 314  class 7     :each              pc 97
 315  class 7     :each_with_index   pc 111
 316  class 7     :map               pc 126
 317  class 7     :size              prim SIZE
 318  class 9     :new               prim NEW
 319  class 7     :<<                prim APUSH
 320  class 7     -                  super 1
 321  class 32775 -                  super 32769
 322  class 8     -                  super 1
 323  class 7     :include?          pc 202
 324  class 32776 -                  super 32769
 325  class 9     -                  super 10
 326  class 32777 -                  super 32778
 327  class 10    -                  super 1
 328  class 32778 -                  super 32769
 329  class 11    -                  super 1
 330  class 32779 -                  super 32769
 331  class 12    -                  super 1
 332  class 32780 -                  super 32769
 333  class 13    -                  super 1
 334  class 32781 -                  super 32769
 335  class 14    -                  super 1
 336  class 32782 -                  super 32769
 337  class 15    -                  super 1
 338  class 32783 -                  super 32769
 339  class 49154 class 32769        is_a
 340  class 49154 class 9            is_a
 341  class 49154 class 10           is_a
 342  class 10    :===               pc 241
 343  class 49154 class 1            is_a
 344  class 16387 class 3            is_a
 345  class 16387 class 1            is_a
 346  class 49155 class 32771        is_a
 347  class 49155 class 32769        is_a
 348  class 49155 class 9            is_a
 349  class 49155 class 10           is_a
 350  class 49155 class 1            is_a
 351  class 16388 class 4            is_a
 352  class 16388 class 1            is_a
 353  class 49156 class 32772        is_a
 354  class 49156 class 32769        is_a
 355  class 49156 class 9            is_a
 356  class 49156 class 10           is_a
 357  class 49156 class 1            is_a
 358  class 16389 class 5            is_a
 359  class 16389 class 1            is_a
 360  class 49157 class 32773        is_a
 361  class 49157 class 32769        is_a
 362  class 49157 class 9            is_a
 363  class 49157 class 10           is_a
 364  class 49157 class 1            is_a
 365  class 16390 class 6            is_a
 366  class 16390 class 1            is_a
 367  class 49158 class 32774        is_a
 368  class 49158 class 32769        is_a
 369  class 49158 class 9            is_a
 370  class 49158 class 10           is_a
 371  class 49158 class 1            is_a
 372  class 16391 class 7            is_a
 373  class 16391 class 1            is_a
 374  class 49159 class 32775        is_a
 375  class 49159 class 32769        is_a
 376  class 49159 class 9            is_a
 377  class 49159 class 10           is_a
 378  class 49159 class 1            is_a
 379  class 16392 class 8            is_a
 380  class 16392 class 1            is_a
 381  class 49160 class 32776        is_a
 382  class 49160 class 32769        is_a
 383  class 49160 class 9            is_a
 384  class 49160 class 10           is_a
 385  class 49160 class 1            is_a
 386  class 16393 class 9            is_a
 387  class 16393 class 10           is_a
 388  class 16393 class 1            is_a
 389  class 49161 class 32777        is_a
 390  class 49161 class 32778        is_a
 391  class 49161 class 32769        is_a
 392  class 49161 class 9            is_a
 393  class 49161 class 10           is_a
 394  class 49161 class 1            is_a
 395  class 16394 class 10           is_a
 396  class 16394 class 1            is_a
 397  class 49162 class 32778        is_a
 398  class 49162 class 32769        is_a
 399  class 49162 class 9            is_a
 400  class 49162 class 10           is_a
 401  class 49162 class 1            is_a
 402  class 16395 class 11           is_a
 403  class 16395 class 1            is_a
 404  class 49163 class 32779        is_a
 405  class 49163 class 32769        is_a
 406  class 49163 class 9            is_a
 407  class 49163 class 10           is_a
 408  class 49163 class 1            is_a
 409  class 16396 class 12           is_a
 410  class 16396 class 1            is_a
 411  class 49164 class 32780        is_a
 412  class 49164 class 32769        is_a
 413  class 49164 class 9            is_a
 414  class 49164 class 10           is_a
 415  class 49164 class 1            is_a
 416  class 16397 class 13           is_a
 417  class 16397 class 1            is_a
 418  class 49165 class 32781        is_a
 419  class 49165 class 32769        is_a
 420  class 49165 class 9            is_a
 421  class 49165 class 10           is_a
 422  class 49165 class 1            is_a
 423  class 16398 class 14           is_a
 424  class 16398 class 1            is_a
 425  class 49166 class 32782        is_a
 426  class 49166 class 32769        is_a
 427  class 49166 class 9            is_a
 428  class 49166 class 10           is_a
 429  class 49166 class 1            is_a
 430  class 16399 class 15           is_a
 431  class 16399 class 1            is_a
 432  class 49167 class 32783        is_a
 433  class 49167 class 32769        is_a
 434  class 49167 class 9            is_a
 435  class 49167 class 10           is_a
 436  class 49167 class 1            is_a
# symbols
   0  :+
   1  :-
   2  :*
   3  :/
   4  :==
   5  :<
   6  :<=
   7  :>
   8  :>=
   9  :[]
  10  :[]=
  11  :initialize
  12  :new
  13  :toggle
  14  :wait
  15  :times
  16  :upto
  17  :downto
  18  :each
  19  :each_with_index
  20  :map
  21  :size
  22  :<<
  23  :loop
  24  :proc
  25  :!=
  26  :!
  27  :include?
  28  :class
  29  :nil?
  30  :instance_of?
  31  :===
  32  :is_a?
